Ancho,Alto,C,ASM
160,90,0,1
320,180,0,0
480,270,0,0
640,360,2,0
800,450,2,0
960,540,2,0
1120,630,4,0
1280,720,4,1
1440,810,6,1
1600,900,7,1
1760,990,9,3
1920,1080,8,1
2080,1170,13,0
2240,1260,15,2
2400,1350,17,2
2560,1440,20,3
2720,1530,21,2
2880,1620,23,4
3040,1710,25,5
3200,1800,28,4
3360,1890,29,4
3520,1980,31,5
3680,2070,33,5
3840,2160,35,6
4000,2250,37,5
4160,2340,39,7
4320,2430,42,10
4480,2520,44,8
4640,2610,47,9
4800,2700,49,9
4800,2700,55,10
4960,2790,53,11
5120,2880,54,11
5280,2970,59,10
5440,3060,61,17
5600,3150,63,18
5760,3240,67,18
5920,3330,69,13
6080,3420,73,20
6240,3510,76,15
6400,3600,83,15
6560,3690,84,20
6720,3780,87,17
6880,3870,91,20
7040,3960,94,19
7200,4050,104,25
7360,4140,102,23
7520,4230,107,26
7680,4320,111,26
7840,4410,114,25
8000,4500,124,23
8160,4590,131,25
8320,4680,129,25
8480,4770,133,26
8640,4860,137,33
8800,4950,144,35
8960,5040,148,37
9120,5130,153,37
9280,5220,157,35
9440,5310,162,32
9600,5400,166,39
3840  ,  2160 ,  41.000000  ,  8.000000 
3840  ,  2160 ,  63.000000  ,  15.000000 
4928  ,  3264 ,  89.000000  ,  14.000000 
4928  ,  3264 ,  115.000000  ,  16.000000 
4928  ,  3264 ,  178.000000  ,  17.000000 
3840  ,  2160 ,  140.000000  ,  14.000000 
